city,utc_adjust
Seoul,9
waypoint,lon,lat
transit,126.99089342369354,37.581708360324924
transit,126.98140935776048,37.578825541434824
transit,126.97192602320682,37.57594195922991
transit,126.96244342009334,37.57305761384708
transit,126.95296154848067,37.57017250542322
transit,126.94348040842941,37.567286634095225
WP9,126.934,37.5644
transit,126.9239441281553,37.563741280950744
transit,126.91388843350545,37.563081705350264
transit,126.90383291627336,37.562421273233745
transit,126.89377757668187,37.56175998463641
transit,126.88372241495378,37.561097839593536
transit,126.87366743131189,37.56043483814044
transit,126.86361262597892,37.55977098031248
transit,126.85355799917757,37.55910626614505
transit,126.84350355113051,37.55844069567361
transit,126.83344928206037,37.55777426893365
transit,126.82339519218971,37.5571069859607
transit,126.8133412817411,37.55643884679037
transit,126.80328755093704,37.55576985145824
Gimpo,126.793234,37.5551
transit,126.78314130688592,37.55226094497491
transit,126.77304937954926,37.54942102596066
transit,126.76295821808608,37.54658024310982
transit,126.75286782259226,37.54373859657502
transit,126.74277819316359,37.540896086508845
transit,126.73268932989569,37.53805271306393
transit,126.72260123288407,37.535208476392924
transit,126.71251390222407,37.532363376648476
transit,126.70242733801095,37.529517413983264
transit,126.69234154033975,37.52667058854996
transit,126.68225650930546,37.523822900501294
transit,126.67217224500286,37.52097434998996
transit,126.66208874752661,37.5181249371687
transit,126.65200601697127,37.515274662190244
transit,126.64192405343123,37.51242352520736
transit,126.63184285700075,37.50957152637284
transit,126.62176242777396,37.50671866583945
transit,126.61168276584482,37.503864943760014
transit,126.6016038713072,37.50101036028733
transit,126.59152574425481,37.49815491557424
transit,126.58144838478123,37.495298609773606
transit,126.57137179297986,37.49244144303827
transit,126.56129596894404,37.4895834155211
transit,126.55122091276692,37.486724527375024
transit,126.54114662454151,37.48386477875292
transit,126.53107310436073,37.48100416980772
transit,126.5210003523173,37.47814270069233
transit,126.51092836850385,37.475280371559734
transit,126.50085715301286,37.47241718256288
transit,126.49078670593667,37.469553133854745
transit,126.48071702736748,37.466688225588314
transit,126.47064811739735,37.4638224579166
transit,126.46057997611821,37.4609558309926
transit,126.45051260362189,37.45808834496938
Incheon,126.440446,37.45522
transit,126.42921794251579,37.45530214985653
transit,126.41798986062939,37.45538323296906
transit,126.40676175465964,37.455463249332205
transit,126.39553362492536,37.455542198940634
transit,126.38430547174536,37.45562008178912
transit,126.37307729543852,37.45569689787249
transit,126.36184909632365,37.45577264718565
transit,126.35062087471961,37.45584732972356
transit,126.33939263094526,37.455920945481296
transit,126.32816436531947,37.45599349445393
transit,126.31693607816108,37.456064976636675
transit,126.305707769789,37.45613539202477
transit,126.29447944052208,37.45620474061356
transit,126.28325109067923,37.45627302239843
transit,126.27202272057933,37.456340237374846
transit,126.26079433054127,37.456406385538344
transit,126.24956592088398,37.45647146688455
transit,126.23833749192633,37.456535481409134
transit,126.22710904398726,37.456598429107835
transit,126.21588057738566,37.45666030997649
transit,126.20465209244048,37.456721124011
transit,126.19342358947063,37.45678087120731
transit,126.18219506879505,37.45683955156145
transit,126.17096653073268,37.456897165069556
transit,126.15973797560245,37.45695371172777
transit,126.14850940372332,37.457009191532364
transit,126.13728081541423,37.457063604479636
transit,126.12605221099413,37.45711695056598
transit,126.114823590782,37.45716922978786
transit,126.10359495509678,37.457220442141804
transit,126.09236630425747,37.45727058762442
transit,126.081137638583,37.45731966623236
transit,126.06990895839236,37.45736767796238
transit,126.05868026400455,37.45741462281129
transit,126.04745155573853,37.45746050077597
transit,126.03622283391331,37.45750531185339
transit,126.02499409884786,37.45754905604056
transit,126.01376535086118,37.45759173333458
transit,126.00253659027227,37.457633343732624
transit,125.99130781740013,37.45767388723192
transit,125.98007903256375,37.457713363829775
transit,125.96885023608216,37.457751773523576
transit,125.95762142827436,37.45778911631078
transit,125.94639260945938,37.45782539218889
transit,125.93516377995621,37.45786060115551
transit,125.9239349400839,37.4578947432083
transit,125.91270609016144,37.457927818345
transit,125.90147723050787,37.4579598265634
transit,125.89024836144222,37.457990767861396
transit,125.87901948328351,37.4580206422369
transit,125.86779059635079,37.45804944968797
transit,125.85656170096308,37.45807719021268
transit,125.84533279743943,37.458103863809164
transit,125.83410388609886,37.45812947047568
transit,125.82287496726042,37.458154010210514
transit,125.81164604124316,37.45817748301205
transit,125.80041710836613,37.45819988887872
transit,125.78918816894836,37.45822122780903
transit,125.77795922330891,37.45824149980157
