city,utc_adjust
bangkok,7
waypoint,lon,lat
WP2,100.3275,13.12283303
transit,100.32754165237236,13.130527555342772
transit,100.32758330733789,13.1382220760861
transit,100.32762496489835,13.145916592227486
transit,100.32766662505544,13.153611103764428
transit,100.32770828781092,13.161305610694422
transit,100.32774995316653,13.169000113014974
transit,100.32779162112399,13.176694610723583
transit,100.32783329168505,13.184389103817743
transit,100.32787496485145,13.192083592294967
transit,100.3279166406249,13.199778076152752
transit,100.32795831900718,13.207472555388593
WP3,100.328,13.21516703
transit,100.32804932534562,13.22372880860958
transit,100.3280986541334,13.232290581485813
transit,100.32814798636589,13.24085234862526
transit,100.32819732204565,13.24941411002448
transit,100.32824666117523,13.25797586568004
transit,100.32829600375716,13.26653761558849
transit,100.328345349794,13.275099359746399
transit,100.32839469928834,13.28366109815033
transit,100.32844405224269,13.292222830796844
transit,100.32849340865961,13.300784557682498
transit,100.32854276854167,13.309346278803861
transit,100.32859213189141,13.3179079941575
transit,100.3286414987114,13.326469703739976
transit,100.32869086900419,13.335031407547852
transit,100.32874024277234,13.343593105577696
transit,100.32878962001841,13.352154797826074
transit,100.32883900074496,13.360716484289556
transit,100.32888838495454,13.369278164964706
transit,100.32893777264971,13.377839839848091
transit,100.32898716383305,13.386401508936281
transit,100.3290365585071,13.394963172225848
transit,100.32908595667442,13.403524829713355
transit,100.3291353583376,13.412086481395372
transit,100.32918476349919,13.420648127268477
transit,100.32923417216173,13.429209767329235
transit,100.32928358432781,13.437771401574219
WP4,100.329333,13.44633303
transit,100.32738963826714,13.454203588841562
transit,100.3254461496106,13.462074127756567
transit,100.32350253394532,13.469944646732305
transit,100.32155879118619,13.477815145756043
transit,100.31961492124809,13.485685624815059
transit,100.31767092404587,13.493556083896632
transit,100.31572679949439,13.501426522988032
transit,100.31378254750845,13.509296942076535
transit,100.31183816800285,13.517167341149399
transit,100.30989366089239,13.525037720193898
transit,100.3079490260918,13.532908079197295
transit,100.30600426351585,13.540778418146852
transit,100.30405937307923,13.54864873702983
transit,100.30211435469664,13.556519035833485
transit,100.30016920828278,13.564389314545078
transit,100.2982239337523,13.572259573151857
transit,100.29627853101984,13.580129811641081
WP5,100.294333,13.58800003
transit,100.29231766177654,13.59613358602131
transit,100.29030218603909,13.604267120441008
transit,100.2882865726931,13.612400633244965
transit,100.28627082164402,13.62053412441904
transit,100.28425493279732,13.62866759394911
transit,100.28223890605837,13.636801041821029
transit,100.28022274133257,13.644934468020663
transit,100.27820643852526,13.653067872533864
transit,100.2761899975418,13.661201255346494
transit,100.27417341828749,13.669334616444402
transit,100.27215670066762,13.67746795581344
transit,100.27013984458746,13.685601273439463
transit,100.26812284995226,13.693734569308306
transit,100.26610571666723,13.701867843405827
transit,100.26408844463755,13.710001095717853
transit,100.26207103376844,13.718134326230237
transit,100.260053483965,13.72626753492881
transit,100.25803579513239,13.734400721799405
transit,100.2560179671757,13.742533886827859
WP6,100.254,13.75066703
