city,utc_adjust
Manila,8
waypoint,lon,lat
transit,121.30402610665773,13.587120709109774
transit,121.29620383055004,13.59179368541628
transit,121.28838124790461,13.59646641447228
transit,121.28055835861616,13.601138896180252
transit,121.27273516257937,13.605811130442659
transit,121.26491165968893,13.610483117161953
transit,121.25708784983958,13.61515485624058
transit,121.24926373292602,13.619826347580977
transit,121.24143930884298,13.624497591085575
transit,121.2336145774852,13.629168586656796
transit,121.22578953874742,13.633839334197045
transit,121.21796419252439,13.638509833608733
transit,121.21013853871086,13.643180084794247
transit,121.20231257720162,13.647850087655979
transit,121.19448630789142,13.6525198420963
transit,121.18665973067506,13.657189348017583
transit,121.17883284544733,13.661858605322186
transit,121.17100565210302,13.666527613912464
transit,121.16317815053694,13.671196373690751
transit,121.1553503406439,13.675864884559388
transit,121.14752222231874,13.680533146420702
transit,121.13969379545628,13.685201159177
transit,121.13186505995137,13.6898689227306
transit,121.12403601569883,13.694536436983796
transit,121.11620666259356,13.69920370183888
transit,121.10837700053037,13.703870717198136
transit,121.10054702940418,13.70853748296383
transit,121.09271674910985,13.713203999038237
transit,121.08488615954226,13.717870265323603
transit,121.07705526059632,13.722536281722183
transit,121.06922405216693,13.727202048136217
transit,121.06139253414901,13.731867564467928
transit,121.05356070643747,13.736532830619538
transit,121.04572856892723,13.741197846493264
transit,121.03789612151326,13.745862611991306
transit,121.03006336409047,13.750527127015868
transit,121.02223029655383,13.755191391469129
transit,121.0143969187983,13.759855405253267
transit,121.00656323071884,13.764519168270452
transit,120.99872923221045,13.769182680422844
transit,120.9908949231681,13.7738459416126
transit,120.9830603034868,13.778508951741857
transit,120.97522537306153,13.783171710712756
transit,120.96739013178733,13.787834218427415
transit,120.95955457955918,13.792496474787962
transit,120.95171871627214,13.79715847969649
transit,120.94388254182124,13.801820233055116
transit,120.93604605610152,13.806481734765917
transit,120.92820925900803,13.811142984730987
transit,120.92037215043582,13.815803982852387
transit,120.91253473027999,13.820464729032192
transit,120.9046969984356,13.82512522317246
transit,120.89685895479772,13.829785465175233
transit,120.88902059926147,13.83444545494255
transit,120.88118193172193,13.839105192376438
transit,120.87334295207422,13.843764677378928
transit,120.86550366021348,13.848423909852029
transit,120.8576640560348,13.85308288969774
transit,120.84982413943335,13.85774161681806
transit,120.84198391030425,13.862400091114976
transit,120.83414336854266,13.867058312490467
transit,120.82630251404373,13.871716280846499
transit,120.81846134670265,13.876373996085038
transit,120.81061986641458,13.88103145810803
transit,120.80277807307472,13.885688666817417
transit,120.79493596657825,13.89034562211514
transit,120.78709354682039,13.895002323903118
transit,120.77925081369634,13.89965877208327
transit,120.77140776710131,13.904314966557509
transit,120.76356440693054,13.908970907227724
transit,120.75572073307927,13.913626593995817
transit,120.74787674544274,13.918282026763661
transit,120.7400324439162,13.922937205433131
transit,120.73218782839493,13.927592129906097
transit,120.72434289877417,13.932246800084409
transit,120.71649765494922,13.936901215869911
transit,120.70865209681536,13.941555377164446
transit,120.7008062242679,13.946209283869846
transit,120.69296003720211,13.95086293588793
transit,120.68511353551334,13.955516333120501
transit,120.67726671909688,13.960169475469373
transit,120.6694195878481,13.964822362836333
transit,120.66157214166229,13.969474995123171
transit,120.65372438043484,13.974127372231665
transit,120.64587630406108,13.978779494063577
transit,120.63802791243637,13.98343136052067
transit,120.6301792054561,13.988082971504696
transit,120.62233018301566,13.992734326917393
transit,120.6144808450104,13.997385426660493
transit,120.60663119133577,14.002036270635728
transit,120.59878122188714,14.006686858744802
transit,120.59093093655993,14.01133719088943
transit,120.58308033524956,14.015987266971308
transit,120.57522941785149,14.02063708689212
transit,120.56737818426113,14.025286650553555
transit,120.55952663437395,14.029935957857278
transit,120.5516747680854,14.034585008704955
transit,120.54382258529097,14.039233802998234
transit,120.5359700858861,14.043882340638765
transit,120.52811726976628,14.048530621528187
transit,120.52026413682704,14.053178645568119
transit,120.51241068696383,14.057826412660184
transit,120.50455692007222,14.062473922705996
transit,120.49670283604766,14.067121175607145
transit,120.48884843478574,14.071768171265235
transit,120.48099371618197,14.076414909581842
transit,120.47313868013188,14.081061390458546
transit,120.46528332653106,14.085707613796908
transit,120.45742765527504,14.090353579498489
transit,120.44957166625943,14.09499928746483
transit,120.44171535937977,14.099644737597474
transit,120.43385873453167,14.10428992979796
transit,120.42600179161073,14.108934863967795
transit,120.41814453051254,14.113579540008503
transit,120.41028695113273,14.11822395782158
transit,120.40242905336693,14.12286811730853
transit,120.39457083711076,14.127512018370826
transit,120.38671230225987,14.132155660909964
transit,120.3788534487099,14.136799044827397
transit,120.37099427635653,14.141442170024593
transit,120.36313478509541,14.146085036402994
transit,120.35527497482222,14.150727643864053
transit,120.34741484543267,14.155369992309202
transit,120.33955439682241,14.160012081639858
transit,120.33169362888718,14.164653911757439
transit,120.32383254152268,14.169295482563356
transit,120.31597113462463,14.173936793959003
transit,120.30810940808878,14.178577845845775
transit,120.30024736181085,14.183218638125043
transit,120.29238499568658,14.187859170698184
transit,120.28452230961175,14.19249944346656
transit,120.2766593034821,14.197139456331524
transit,120.26879597719343,14.20177920919442
transit,120.26093233064152,14.206418701956586
transit,120.25306836372216,14.21105793451935
transit,120.24520407633115,14.215696906784025
transit,120.2373394683643,14.220335618651925
transit,120.22947453971743,14.224974070024347
transit,120.22160929028637,14.229612260802586
transit,120.21374371996696,14.234250190887922
transit,120.20587782865503,14.23888786018163
transit,120.19801161624646,14.243525268584978
transit,120.19014508263712,14.248162415999214
transit,120.18227822772285,14.252799302325593
transit,120.17441105139956,14.25743592746535
transit,120.16654355356313,14.262072291319715
transit,120.15867573410947,14.26670839378991
transit,120.15080759293448,14.271344234777144
transit,120.14293912993409,14.275979814182621
transit,120.13507034500422,14.280615131907531
transit,120.12720123804081,14.28525018785307
transit,120.1193318089398,14.2898849819204
transit,120.11146205759717,14.294519514010698
transit,120.10359198390884,14.299153784025119
transit,120.09572158777083,14.303787791864814
transit,120.08785086907909,14.308421537430918
transit,120.07997982772963,14.313055020624567
transit,120.07210846361845,14.317688241346882
transit,120.06423677664154,14.322321199498983
transit,120.05636476669494,14.326953894981964
transit,120.04849243367467,14.331586327696932
transit,120.04061977747678,14.336218497544966
transit,120.0327467979973,14.34085040442715
transit,120.02487349513228,14.345482048244548
transit,120.01699986877782,14.350113428898224
transit,120.00912591882997,14.354744546289226
transit,120.0012516451848,14.359375400318594
transit,119.99337704773842,14.364005990887367
transit,119.98550212638693,14.368636317896572
transit,119.97762688102645,14.373266381247218
transit,119.96975131155308,14.377896180840319
transit,119.96187541786297,14.382525716576863
transit,119.95399919985225,14.387154988357846
transit,119.94612265741705,14.391783996084245
transit,119.93824579045356,14.396412739657029
transit,119.93036859885792,14.401041218977165
transit,119.92249108252634,14.405669433945606
transit,119.91461324135496,14.410297384463295
transit,119.90673507524,14.414925070431163
transit,119.89885658407766,14.419552491750142
transit,119.89097776776416,14.424179648321147
transit,119.88309862619572,14.428806540045086
transit,119.87521915926855,14.433433166822855
transit,119.86733936687892,14.438059528555351
transit,119.85945924892306,14.442685625143456
