city,utc_adjust
kuala_lumpur,8
waypoint,lon,lat
transit,101.26349366915359,4.121311937923607
transit,101.26100641131403,4.129924569790323
transit,101.25851909984061,4.138537191981242
transit,101.25603173461998,4.147149804475996
transit,101.2535443155388,4.155762407254214
transit,101.2510568424837,4.16437500029552
transit,101.24856931534131,4.172987583579543
transit,101.24608173399825,4.181600157085907
transit,101.2435940983411,4.190212720794236
transit,101.24110640825648,4.198825274684151
transit,101.23861866363099,4.207437818735275
transit,101.23613086435117,4.216050352927228
transit,101.23364301030362,4.224662877239628
transit,101.2311551013749,4.233275391652092
transit,101.22866713745155,4.241887896144237
transit,101.22617911842012,4.250500390695681
transit,101.22369104416714,4.259112875286034
transit,101.22120291457912,4.267725349894909
transit,101.21871472954258,4.276337814501919
transit,101.21622648894403,4.284950269086675
transit,101.21373819266996,4.293562713628785
transit,101.21124984060685,4.302175148107857
transit,101.20876143264118,4.310787572503495
transit,101.2062729686594,4.31939998679531
transit,101.20378444854799,4.328012390962902
transit,101.20129587219337,4.336624784985875
transit,101.198807239482,4.345237168843831
transit,101.19631855030028,4.35384954251637
transit,101.19382980453463,4.36246190598309
transit,101.19134100207147,4.37107425922359
transit,101.18885214279719,4.379686602217468
transit,101.18636322659817,4.388298934944316
transit,101.1838742533608,4.396911257383732
transit,101.18138522297144,4.405523569515307
transit,101.17889613531645,4.414135871318632
transit,101.17640699028216,4.422748162773298
transit,101.17391778775493,4.431360443858896
transit,101.17142852762109,4.43997271455501
transit,101.16893920976692,4.4485849748412285
transit,101.16644983407876,4.457197224697137
transit,101.16396040044292,4.465809464102319
transit,101.16147090874564,4.474421693036358
transit,101.15898135887323,4.4830339114788345
transit,101.15649175071196,4.491646119409329
transit,101.15400208414808,4.500258316807418
transit,101.15151235906782,4.508870503652683
transit,101.14902257535744,4.517482679924698
transit,101.14653273290315,4.52609484560304
transit,101.1440428315912,4.53470700066728
transit,101.14155287130774,4.54331914509699
transit,101.13906285193902,4.551931278871744
transit,101.13657277337119,4.560543401971109
transit,101.13408263549043,4.569155514374654
transit,101.13159243818293,4.577767616061948
transit,101.12910218133483,4.586379707012555
transit,101.12661186483227,4.594991787206039
transit,101.12412148856139,4.603603856621966
transit,101.1216310524083,4.612215915239894
transit,101.11914055625914,4.620827963039385
WP2,101.11665,4.62944
transit,101.11163656307947,4.6367961180241295
transit,101.10662302244387,4.644152198936055
transit,101.10160937792632,4.65150824267596
transit,101.0965956293599,4.658864249184025
transit,101.09158177657767,4.666220218400423
transit,101.0865678194127,4.673576150265327
transit,101.08155375769807,4.680932044718904
transit,101.07653959126681,4.688287901701314
transit,101.07152531995195,4.695643721152719
transit,101.06651094358652,4.70299950301327
transit,101.06149646200353,4.71035524722312
transit,101.05648187503598,4.7177109537224124
transit,101.05146718251687,4.72506662245129
transit,101.04645238427918,4.7324222533498865
transit,101.04143748015588,4.739777846358341
transit,101.03642246997993,4.747133401416775
transit,101.03140735358427,4.754488918465319
transit,101.02639213080187,4.76184439744409
transit,101.02137680146562,4.769199838293204
transit,101.01636136540846,4.7765552409527725
transit,101.01134582246328,4.7839106053629035
transit,101.006330172463,4.791265931463697
transit,101.00131441524049,4.798621219195255
transit,100.99629855062861,4.8059764684976685
transit,100.99128257846026,4.813331679311029
transit,100.98626649856827,4.820686851575422
transit,100.98125031078548,4.828041985230926
transit,100.97623401494472,4.835397080217622
transit,100.97121761087884,4.842752136475578
transit,100.96620109842061,4.850107153944866
transit,100.96118447740284,4.857462132565549
transit,100.95616774765833,4.864817072277681
transit,100.95115090901986,4.872171973021322
transit,100.94613396132017,4.879526834736521
transit,100.94111690439203,4.8868816573633245
transit,100.93609973806818,4.8942364408417705
transit,100.93108246218137,4.901591185111901
transit,100.9260650765643,4.9089458901137455
transit,100.92104758104969,4.916300555787332
transit,100.91602997547024,4.923655182072687
transit,100.91101225965863,4.931009768909827
transit,100.90599443344755,4.938364316238769
transit,100.90097649666966,4.945718823999522
transit,100.8959584491576,4.9530732921320935
transit,100.89094029074406,4.960427720576481
transit,100.88592202126162,4.967782109272686
transit,100.88090364054293,4.9751364581607
transit,100.8758851484206,4.982490767180508
transit,100.8708665447272,4.989845036272097
transit,100.86584782929536,4.9971992653754445
transit,100.86082900195765,5.004553454430524
transit,100.85581006254661,5.011907603377307
transit,100.85079101089482,5.019261712155756
transit,100.84577184683481,5.0266157807058365
transit,100.8407525701991,5.0339698089675
transit,100.83573318082024,5.041323796880702
transit,100.83071367853071,5.048677744385387
transit,100.82569406316303,5.056031651421497
transit,100.82067433454968,5.063385517928972
transit,100.81565449252312,5.070739343847745
transit,100.81063453691584,5.078093129117744
transit,100.80561446756028,5.085446873678894
transit,100.80059428428886,5.092800577471113
